"","apartment","road","address","lon","lat"
"1","개포2차현대아파트(220)","언주로 103","서울특별시 강남구 개포동 655-2",127.052897,37.4813054
"2","개포6차우성아파트1동~8동","언주로 3","서울특별시 강남구 개포동 658-1",127.0567424,37.4762642
"3","개포우성3차","개포로 307","서울특별시 강남구 개포동 652",127.0561699,37.4839447
"4","개포자이(12-2)","개포로109길 69","서울특별시 강남구 개포동 44167",127.0609282,37.4789643
"5","개포주공 1단지","개포로 310","서울특별시 강남구 개포동 141",127.0614839,37.478368
"6","개포주공 4단지","삼성로 14","서울특별시 강남구 개포동 189",127.0714351,37.4855371
"7","개포주공 5단지","삼성로4길 17","서울특별시 강남구 개포동 187",127.0686558,37.4875354
"8","개포주공 6단지","개포로 516","서울특별시 강남구 개포동 185",127.071487,37.4888326
"9","개포주공 7단지","개포로 516","서울특별시 강남구 개포동 185",127.071487,37.4888326
"10","개포현대200동","언주로 105","서울특별시 강남구 개포동 655-1",127.0526666,37.4816442
"11","경남1","언주로 110","서울특별시 강남구 개포동 649",127.054267,37.4843872
"12","경남2차","언주로 110","서울특별시 강남구 개포동 649",127.054267,37.4843872
"13","뉴현대파크빌","논현로2길 61-4","서울특별시 강남구 개포동 1164-30",127.0547895,37.4747735
"14","삼익대청아파트","개포로109길 21","서울특별시 강남구 개포동 12",127.0750977,37.4939654
"15","상지리츠빌","개포로 405","서울특별시 강남구 개포동 176-1",127.0602688,37.4871869
"16","새롬(1164-12)","논현로2길 34","서울특별시 강남구 개포동 1164-12",127.0529491,37.473145
"17","새롬(1164-14)","논현로2길 38","서울특별시 강남구 개포동 1164-14",127.0532351,37.4733275
"18","성원대치2단지아파트","개포로109길 9","서울특별시 강남구 개포동 12",127.0750977,37.4939654
"19","시영","언주로 21","서울특별시 강남구 개포동 656",127.0542624,37.4785609
"20","쌍용","언주로 101","서울특별시 강남구 개포동 655-3",127.0532554,37.4810335
"21","아람손프라자/비바빌","논현로2길 22","서울특별시 강남구 개포동 1164-7",127.0523738,37.4727746
"22","에버그린","선릉로8길 5","서울특별시 강남구 개포동 166-4",127.0612704,37.4828707
"23","우성8","개포로 411","서울특별시 강남구 개포동 179",127.0625135,37.4881707
"24","우성9차아파트 901동, 902동","개포로 311","서울특별시 강남구 개포동 651-1",127.0571779,37.4848024
"25","우찬현대(1260-11)","개포로31길 3-12","서울특별시 강남구 개포동 1260-11",127.0489038,37.4793154
"26","포이벨리","양재대로 379","서울특별시 강남구 개포동 1164-28",127.0551887,37.4745812
"27","한림","논현로2길 50","서울특별시 강남구 개포동 1164-20",127.0541063,37.4739021
"28","현대","선릉로18길 12","서울특별시 강남구 개포동 172-3",127.0601356,37.4842818
"29","현대1차101동~106동","개포로 303","서울특별시 강남구 개포동 653",127.0544891,37.4825481
"30","현대2","언주로 107","서울특별시 강남구 개포동 654",127.0513673,37.482369
"31","현대3","개포로 409","서울특별시 강남구 개포동 177",127.0609236,37.4878994
"32","현대탑빌라","개포로15길 32-8","서울특별시 강남구 개포동 1242-2",127.0459467,37.4797123
"33","e-편한세상","봉은사로11길 12","서울특별시 강남구 논현동 195-1",127.0289875,37.5066597
"34","거평프리젠","강남대로112길 41","서울특별시 강남구 논현동 196",127.0276384,37.5062954
"35","경남논현","언주로116길 12","서울특별시 강남구 논현동 274",127.0381352,37.5106451
"36","골든캐슬","도산대로54길 48-8","서울특별시 강남구 논현동 103-11",127.0388377,37.5196379
"37","논현동월드메르디앙","학동로38길 22","서울특별시 강남구 논현동 212-13",127.0340836,37.5134549
"38","논현동한화꿈에그린","논현로111길 39","서울특별시 강남구 논현동 205-2",127.0303436,37.5067547
"39","논현라폴리움","학동로46길 32","서울특별시 강남구 논현동 252",127.0387343,37.5141181
"40","논현베르빌","학동로30길 21","서울특별시 강남구 논현동 214-2",127.032682,37.5125829
"41","논현빌라트","선릉로137길 6","서울특별시 강남구 논현동 102-9",127.0398634,37.5192237
"42","논현아트빌","논현로124길 7","서울특별시 강남구 논현동 215-14",127.032252,37.5124235
"43","논현웰스톤","학동로43길 38","서울특별시 강남구 논현동 108",127.0380027,37.5184174
"44","논현파라곤","학동로 338","서울특별시 강남구 논현동 241-1",127.0404191,37.5164665
"45","논현프라임아파트","봉은사로11길 11","서울특별시 강남구 논현동 196-4",127.0283866,37.5065989
"46","논현한가람빌라트","도산대로50길 54","서울특별시 강남구 논현동 105-3",127.0374942,37.5187232
"47","더그레이스","언주로125길 12","서울특별시 강남구 논현동 212-20",127.0340921,37.5129702
"48","동부센트레빌","언주로116길 6","서울특별시 강남구 논현동 275",127.0375793,37.5102504
"49","동양파라곤","언주로130길 30","서울특별시 강남구 논현동 245",127.0380907,37.5145526
"50","동현아파트 1~6","언주로146길 18","서울특별시 강남구 논현동 105",127.0366998,37.5193601
"51","두산위브1단지","학동로46길 38","서울특별시 강남구 논현동 252-1",127.0386984,37.5133862
"52","두산위브2단지","언주로122길 25","서울특별시 강남구 논현동 258",127.0383688,37.5125374
"53","마블하우스","봉은사로51길 36","서울특별시 강남구 논현동 267-23",127.0423328,37.5124174
"54","마일스디오빌","학동로 165","서울특별시 강남구 논현동 21217",127.0315341,37.5135304
"55","삼성빌라트","학동로31길 29","서울특별시 강남구 논현동 28976",127.0315341,37.5135304
"56","신동아(22)","강남대로146길 28","서울특별시 강남구 논현동 22",127.0227423,37.5146969
"57","아크로힐스논현","언주로 604","서울특별시 강남구 논현동 276-1",127.0388621,37.5093526
"58","우민","언주로136길 21","서울특별시 강남구 논현동 107-44",127.0373364,37.517802
"59","월드쉐르빌","강남대로124길 51","서울특별시 강남구 논현동 138-9",127.0260579,37.5102479
"60","은탑리더스카운티","학동로9길 15","서울특별시 강남구 논현동 16224",127.0315341,37.5135304
"61","이움빌라","봉은사로29길 26","서울특별시 강남구 논현동 229-13",127.0340901,37.5092605
"62","제이빌","학동로43길 30","서울특별시 강남구 논현동 108-2",127.0379207,37.5180203
"63","지고하임(102동)","강남대로136길 40","서울특별시 강남구 논현동 16316",127.0315341,37.5135304
"64","청학아파트 에이동,비동,씨동","도산대로 232","서울특별시 강남구 논현동 22706",127.0315341,37.5135304
"65","케럿스테이트","봉은사로51길 40","서울특별시 강남구 논현동 267-18",127.0422286,37.5125994
"66","케이씨빌","선릉로137길 20","서울특별시 강남구 논현동 104-23",127.0387238,37.5189945
"67","테크노빌라트","선릉로111길 38-16","서울특별시 강남구 논현동 271-6",127.0402036,37.511208
"68","토미빌(228-9)","봉은사로29길 25","서울특별시 강남구 논현동 228-9",127.0337745,37.5090039
"69","프라임","도산대로30길 56","서울특별시 강남구 논현동 80-13",127.0305634,37.5161661
"70","학동","논현로124길 28","서울특별시 강남구 논현동 217-34",127.0337732,37.5126135
"71","한양빌라트","논현로140길 22","서울특별시 강남구 논현동 29037",127.0315341,37.5135304
"72","한양수자인어반게이트","봉은사로29길 35","서울특별시 강남구 논현동 221-7",127.0334919,37.5096909
"73","한진로즈힐","도산대로46길 21","서울특별시 강남구 논현동 105-4",127.037115,37.5206817
"74","한화꿈에그린2차","봉은사로21길 19","서울특별시 강남구 논현동 194-23",127.0307946,37.5074711
"75","현대넥서스 A동","학동로42길 60","서울특별시 강남구 논현동 261-8",127.0367685,37.5115504
"76","현대넥서스 B동","언주로122길 6","서울특별시 강남구 논현동 261-7",127.036584,37.5118264
"77","현대인텔렉스","언주로 620","서울특별시 강남구 논현동 261",127.0362884,37.5115897
